JOURNAL,2016,2017,2018,2019
AFRICAN JOURNAL OF MARINE SCIENCE,0,1,1,0
AMERICAN NATURALIST,0,1,0,0
ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION VOL 5,0,0,1,0
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,0,5,4,2
COMPUTATIONAL STATISTICS & DATA ANALYSIS,0,0,1,0
DIABETES CARE,1,0,0,0
DIVERSITY AND DISTRIBUTIONS,0,0,0,1
ECOLOGICAL APPLICATIONS,0,1,1,0
ECOLOGICAL INFORMATICS,0,0,0,1
ECOLOGY,0,3,0,1
ECOLOGY AND EVOLUTION,0,1,0,0
ELIFE,0,1,0,0
ENVIRONMENTAL AND ECOLOGICAL STATISTICS,0,1,0,0
ENVIRONMENTAL BIOLOGY OF FISHES,0,0,1,0
ENVIRONMENTAL RESEARCH LETTERS,0,0,1,0
EVOLUTION,0,0,1,0
FISH AND FISHERIES,0,2,0,1
FISHERIES RESEARCH,1,2,4,5
FRONTIERS IN MARINE SCIENCE,0,0,1,0
FRONTIERS IN VETERINARY SCIENCE,0,0,1,0
GLOBAL ECOLOGY AND BIOGEOGRAPHY,1,0,0,0
ICES JOURNAL OF MARINE SCIENCE,1,3,3,0
IEEE ACCESS,0,0,1,0
INDIAN JOURNAL OF FISHERIES,0,0,1,0
JAMA INTERNAL MEDICINE,0,1,0,0
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,1,3,2,0
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,0,1,0,0
JOURNAL OF ANIMAL ECOLOGY,0,0,1,0
JOURNAL OF APPLIED STATISTICS,0,1,0,0
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,0,1,0,0
JOURNAL OF MAMMALOGY,0,1,0,0
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,0,0,0,1
LANCET PUBLIC HEALTH,0,1,0,0
MALARIA JOURNAL,0,0,1,0
MARINE ECOLOGY PROGRESS SERIES,0,1,1,0
METHODS IN ECOLOGY AND EVOLUTION,0,1,1,0
NATURE,0,1,1,0
NATURE COMMUNICATIONS,0,0,0,1
NATURE ECOLOGY & EVOLUTION,0,1,0,0
NUCLEIC ACIDS RESEARCH,0,1,0,0
OPTIMIZATION METHODS & SOFTWARE,0,0,1,0
PEERJ,0,0,1,0
PLOS ONE,0,0,1,0
POPULATION HEALTH METRICS,0,1,2,0
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,1,0,1,0
R JOURNAL,0,1,0,0
REVIEWS IN FISH BIOLOGY AND FISHERIES,0,0,1,0
SCIENTIFIC REPORTS,1,1,2,0
SPATIAL STATISTICS,0,0,1,0
STATISTICA NEERLANDICA,0,0,1,0
STATISTICAL METHODS IN MEDICAL RESEARCH,0,0,1,0
STATISTICS AND COMPUTING,0,0,1,0
STATISTICS IN MEDICINE,0,1,0,0
TOXICOLOGY IN VITRO,0,0,1,0
WATER,0,1,0,0
WILDLIFE BIOLOGY,0,0,1,0
