JOURNAL,2016,2017,2018
AFRICAN JOURNAL OF MARINE SCIENCE,0,1,0
AMERICAN NATURALIST,0,1,0
ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION,0,0,1
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,0,5,0
COMPUTATIONAL STATISTICS & DATA ANALYSIS,0,0,1
DIABETES CARE,1,0,0
ECOLOGICAL APPLICATIONS,0,1,0
ECOLOGY,0,3,0
ECOLOGY AND EVOLUTION,0,1,0
ELIFE,0,1,0
ENVIRONMENTAL AND ECOLOGICAL STATISTICS,0,1,0
FISH AND FISHERIES,0,2,0
FISHERIES RESEARCH,1,2,2
GLOBAL ECOLOGY AND BIOGEOGRAPHY,1,0,0
ICES JOURNAL OF MARINE SCIENCE,1,3,2
IEEE ACCESS,0,0,1
INDIAN JOURNAL OF FISHERIES,0,0,1
JAMA INTERNAL MEDICINE,0,1,0
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,1,3,2
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,0,1,0
JOURNAL OF ANIMAL ECOLOGY,0,0,1
JOURNAL OF APPLIED STATISTICS,0,1,0
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,0,1,0
JOURNAL OF MAMMALOGY,0,1,0
LANCET PUBLIC HEALTH,0,1,0
MARINE ECOLOGY PROGRESS SERIES,0,1,1
METHODS IN ECOLOGY AND EVOLUTION,0,1,0
NATURE,0,1,0
NATURE ECOLOGY & EVOLUTION,0,1,0
NUCLEIC ACIDS RESEARCH,0,1,0
POPULATION HEALTH METRICS,0,1,1
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,1,0,0
R JOURNAL,0,1,0
SCIENTIFIC REPORTS,1,1,0
STATISTICS AND COMPUTING,0,0,1
STATISTICS IN MEDICINE,0,1,0
WATER,0,1,0
